GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
WHS4_111_AGE1519,PUBLISHED,2010,EMR,AFG,60.5,60.5,,,
WHS4_111_AGE1519,PUBLISHED,2009,AFR,AGO,83.2,83.2,,,
WHS4_111_AGE1519,PUBLISHED,2008,EUR,ALB,96.6,96.6,,,
WHS4_111_AGE1519,PUBLISHED,2010,EUR,ARM,99.6,99.6,,,
WHS4_111_AGE1519,PUBLISHED,2006,EUR,AZE,86.8,86.8,,,
WHS4_111_AGE1519,PUBLISHED,2010,AFR,BDI,97.7,97.7,,,
WHS4_111_AGE1519,PUBLISHED,2006,AFR,BEN,83.0,83.0,,,
WHS4_111_AGE1519,PUBLISHED,2010,AFR,BFA,96.3,96.3,,,
WHS4_111_AGE1519,PUBLISHED,2011,SEAR,BGD,57.1,57.1,,,
WHS4_111_AGE1519,PUBLISHED,2008,AMR,BOL,89.6,89.6,,,
WHS4_111_AGE1519,PUBLISHED,2010,SEAR,BTN,96.0,96.0,,,
WHS4_111_AGE1519,PUBLISHED,2007,AFR,BWA,89.6,89.6,,,
WHS4_111_AGE1519,PUBLISHED,2011,AFR,BLZ,98.7,98.7,,,
WHS4_111_AGE1519,PUBLISHED,2006,AFR,CIV,86.6,86.6,,,
WHS4_111_AGE1519,PUBLISHED,2011,AFR,CMR,84.9,84.9,,,
WHS4_111_AGE1519,PUBLISHED,2007,AFR,COD,84.5,84.5,,,
WHS4_111_AGE1519,PUBLISHED,2005,AFR,COG,86.5,86.5,,,
WHS4_111_AGE1519,PUBLISHED,2010,AMR,COL,91.8,91.8,,,
WHS4_111_AGE1519,PUBLISHED,2005,AMR,COL,93.4,93.4,,,
WHS4_111_AGE1519,PUBLISHED,2010,AFR,CAF,67.0,67.0,,,
WHS4_111_AGE1519,PUBLISHED,2007,AMR,DOM,99.5,99.5,,,
WHS4_111_AGE1519,PUBLISHED,2008,EMR,EGY,76.5,76.5,,,
WHS4_111_AGE1519,PUBLISHED,2011,AFR,ETH,9.6,9.6,,,
WHS4_111_AGE1519,PUBLISHED,2012,AFR,GAB,95.3,95.3,,,
WHS4_111_AGE1519,PUBLISHED,2010,AFR,GMB,97.7,97.7,,,
WHS4_111_AGE1519,PUBLISHED,2008,AFR,GHA,97.3,97.3,,,
WHS4_111_AGE1519,PUBLISHED,2005,AFR,GIN,86.9,86.9,,,
WHS4_111_AGE1519,PUBLISHED,2008,AMR,GTM,92.9,92.9,,,
WHS4_111_AGE1519,PUBLISHED,2005,AFR,GIN,86.5,86.5,,,
WHS4_111_AGE1519,PUBLISHED,2010,AFR,GNB,93.7,93.7,,,
WHS4_111_AGE1519,PUBLISHED,2009,AMR,GUY,92.3,92.3,,,
WHS4_111_AGE1519,PUBLISHED,2005,AMR,HND,92.2,92.2,,,
