GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
WHS6_101,PUBLISHED,2007-2013,SEAR,IND,2.8,2.8,,,"Based on survey in New Delhi, India."
WHS6_101,PUBLISHED,2007-2013,AMR,MEX,50.0,50.0,,,"Based on a survey in Mexico City, Mexico."
WHS6_101,PUBLISHED,2007-2013,SEAR,IDN,57.8,57.8,,,
WHS6_101,PUBLISHED,2007-2013,EUR,KGZ,70.0,70.0,,,
WHS6_101,PUBLISHED,2007-2013,WPR,MNG,90.0,90.0,,,
WHS6_101,PUBLISHED,2007-2013,AFR,ZMB,81.3,81.3,,,
WHS6_101,PUBLISHED,2007-2013,AMR,ECU,71.1,71.1,,,
WHS6_101,PUBLISHED,2007-2013,EUR,RUS,100.0,100.0,,,"Based on a survey in Tatarstan province, Russian Federation."
WHS6_101,PUBLISHED,2007-2013,WPR,PHL,21.7,21.7,,,
WHS6_101,PUBLISHED,2007-2013,AMR,HTI,54.3,54.3,,,
WHS6_101,PUBLISHED,2007-2013,EUR,MDA,56.0,56.0,,,
WHS6_101,PUBLISHED,2007-2013,AFR,MUS,70.0,70.0,,,
WHS6_101,PUBLISHED,2007-2013,EMR,SYR,98.2,98.2,,,
WHS6_101,PUBLISHED,2007-2013,AMR,NIC,87.1,87.1,,,
WHS6_101,PUBLISHED,2007-2013,EMR,OMN,70.3,70.3,,,
WHS6_101,PUBLISHED,2007-2013,WPR,CHN,13.3,13.3,,,"Simple average of three survey of medicine prices and availability in China (Shaanxi, Shandong and Shanghai provinces)."
WHS6_101,PUBLISHED,2007-2013,AFR,STP,22.2,22.2,,,
WHS6_101,PUBLISHED,2007-2013,WPR,COK,33.3,33.3,,,
WHS6_101,PUBLISHED,2007-2013,AMR,BHS,42.9,42.9,,,
WHS6_101,PUBLISHED,2007-2013,AMR,DOM,65.0,65.0,,,
WHS6_101,PUBLISHED,2007-2013,AFR,NER,65.8,65.8,,,
WHS6_101,PUBLISHED,2007-2013,EMR,SDN,91.7,91.7,,,
WHS6_101,PUBLISHED,2007-2013,EUR,UKR,91.4,91.4,,,
WHS6_101,PUBLISHED,2007-2013,AMR,COL,90.7,90.7,,,
WHS6_101,PUBLISHED,2007-2013,AMR,BRA,76.7,76.7,,,"Based on a survey of medicine prices and availability in Rio Grande do Sul State, Brazil."
WHS6_101,PUBLISHED,2007-2013,AFR,COG,31.3,31.3,,,
WHS6_101,PUBLISHED,2007-2013,AFR,TZA,50.0,50.0,,,
WHS6_101,PUBLISHED,2007-2013,EMR,AFG,94.0,94.0,,,
WHS6_101,PUBLISHED,2007-2013,AFR,BDI,58.3,58.3,,,
WHS6_101,PUBLISHED,2007-2013,AFR,COD,65.4,65.4,,,
WHS6_101,PUBLISHED,2007-2013,AFR,RWA,80.0,80.0,,,
WHS6_101,PUBLISHED,2007-2013,AMR,SLV,78.6,78.6,,,
WHS6_101,PUBLISHED,2007-2013,AFR,UGA,78.0,78.0,,,
WHS6_101,PUBLISHED,2007-2013,AFR,BFA,72.1,72.1,,,
WHS6_101,PUBLISHED,2007-2013,AFR,MWI,55.6,55.6,,,
WHS6_101,PUBLISHED,2007-2013,EMR,IRN,96.7,96.7,,,
WHS6_101,PUBLISHED,2007-2013,EUR,KAZ,86.7,86.7,,,
WHS6_101,PUBLISHED,2007-2013,AMR,BOL,86.7,86.7,,,
