GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
NCD_CCS_Nicotine,PUBLISHED,2013,EMR,AFG,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,AGO,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,ALB,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,AND,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EMR,ARE,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,ARG,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,ARM,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,ATG,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,WPR,AUS,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,AUT,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,AZE,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,BDI,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,BEL,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,BEN,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,BFA,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,SEAR,BGD,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,BGR,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EMR,BHR,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,BHS,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,BIH,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,BLR,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,BLZ,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,BOL,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,BRA,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,BRB,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,WPR,BRN,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,SEAR,BTN,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,BWA,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,CAF,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,CAN,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,CHE,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,CHL,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,WPR,CHN,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,CIV,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,CMR,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,COD,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,COG,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,WPR,COK,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,COL,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,COM,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,CPV,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,CRI,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,CUB,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,CYP,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,CZE,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,DEU,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EMR,DJI,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,DMA,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,DNK,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,DOM,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,DZA,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,ECU,Don't know,,,,Country responded Don't know.
NCD_CCS_Nicotine,PUBLISHED,2013,EMR,EGY,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,ERI,Don't know,,,,Country responded Don't know.
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,ESP,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,EST,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,ETH,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,FIN,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,WPR,FJI,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,FRA,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,WPR,FSM,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,GAB,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,GBR,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,GEO,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,GHA,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,GIN,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,GMB,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,GNB,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AFR,GNQ,Don't know,,,,Country responded Don't know.
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,GRC,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,GRD,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,GTM,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,GUY,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,HND,No,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,HRV,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,AMR,HTI,No data received,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,EUR,HUN,Yes,,,,
NCD_CCS_Nicotine,PUBLISHED,2013,SEAR,IDN,No,,,,
