GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,Display Value,Numeric,Low,High,Comments
MEDS2020200C,PUBLISHED,2010,EMR,WB_LI,AFG,0.8,0.8,,,
MEDS2020200C,PUBLISHED,2010,AMR,WB_LMI,BLZ,3.87,3.87,,,
MEDS2020200C,PUBLISHED,2011,AMR,WB_LMI,BOL,5.27,5.27,,,
MEDS2020200C,PUBLISHED,2011,AMR,WB_HI,BRB,0.0,0.0,,,
MEDS2020200C,PUBLISHED,2012,AMR,WB_UMI,CRI,8.1,8.1,,,
MEDS2020200C,PUBLISHED,2000,AMR,WB_UMI,DOM,3.4,3.4,,,
MEDS2020200C,PUBLISHED,2011,AMR,WB_LMI,GTM,0.83,0.83,,,
MEDS2020200C,PUBLISHED,2009,SEAR,WB_LMI,IDN,0.86,0.86,,,
MEDS2020200C,PUBLISHED,2007,EMR,WB_LMI,IRQ,3.47,3.47,,,
MEDS2020200C,PUBLISHED,2010,EMR,WB_LMI,JOR,15.0,15.0,,,
MEDS2020200C,PUBLISHED,2010,EMR,WB_LMI,MAR,2.9,2.9,,,
MEDS2020200C,PUBLISHED,2010,SEAR,WB_LI,NPL,0.261,0.26,,,
MEDS2020200C,PUBLISHED,2010,EMR,WB_HI,OMN,3.4,3.4,,,
MEDS2020200C,PUBLISHED,2011,AMR,WB_UMI,PAN,7.0,7.0,,,
MEDS2020200C,PUBLISHED,2011,AMR,WB_UMI,PER,5.0,5.0,,,
MEDS2020200C,PUBLISHED,2010,AMR,WB_LMI,SLV,3.4,3.4,,,
MEDS2020200C,PUBLISHED,2010,EMR,WB_LMI,SYR,8.54,8.54,,,
MEDS2020200C,PUBLISHED,2010,EMR,WB_LMI,TUN,3.2,3.2,,,
MEDS2020200C,PUBLISHED,2006,EUR,WB_LMI,UKR,4.84,4.84,,,
MEDS2020200C,PUBLISHED,2010,AMR,WB_UMI,URY,6.0,6.0,,,
MEDS2020200C,PUBLISHED,2007,EUR,WB_LI,UZB,3.2,3.2,,,
MEDS2020200C,PUBLISHED,2011,AMR,WB_UMI,VCT,5.4,5.4,,,
