"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGSUICIDE","PUBLISHED","2000","","1","","FMLE","9.7","9.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2000","","1","","MLE","16.0","16.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2000","","1","","BTSX","12.9","12.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2005","","1","","FMLE","9.3","9.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2005","","1","","MLE","15.3","15.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2005","","1","","BTSX","12.3","12.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2010","","1","","FMLE","8.6","8.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2010","","1","","MLE","14.3","14.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2010","","1","","BTSX","11.5","11.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2015","","1","","FMLE","7.8","7.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2015","","1","","MLE","13.6","13.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2015","","1","","BTSX","10.7","10.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2016","","1","","FMLE","7.7","7.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2016","","1","","MLE","13.5","13.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2016","","1","","BTSX","10.6","10.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"SDGSUICIDE","PUBLISHED","2000","EMR","","AFG","FMLE","1.0","1.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
