country,year,mcv2
afg,2004,2
afg,2005,9
afg,2006,18
afg,2007,4
afg,2008,23
afg,2009,24
afg,2010,29
afg,2011,31
afg,2012,33
afg,2013,35
afg,2014,39
afg,2015,39
afg,2016,39
ago,2015,26
ago,2016,26
alb,2001,90
alb,2002,93
alb,2003,93
alb,2004,96
alb,2005,97
alb,2006,94
alb,2007,95
alb,2008,98
alb,2009,98
alb,2010,98
alb,2011,99
alb,2012,99
alb,2013,99
alb,2014,98
alb,2015,98
alb,2016,98
and,2007,80
and,2008,86
and,2009,82
and,2010,86
and,2011,82
and,2012,89
and,2013,91
and,2014,90
and,2015,88
and,2016,90
are,2000,92
are,2001,92
are,2002,92
are,2003,92
are,2004,92
are,2005,94
are,2006,93
are,2007,93
are,2008,92
are,2009,93
are,2010,94
are,2011,95
are,2012,96
are,2013,98
are,2014,99
are,2015,99
are,2016,99
arg,2000,56
arg,2001,56
arg,2002,83
arg,2003,80
arg,2004,93
arg,2005,88
arg,2006,91
arg,2007,84
arg,2008,88
arg,2009,96
arg,2010,94
arg,2011,91
arg,2012,89
arg,2013,83
arg,2014,96
arg,2015,87
arg,2016,88
arm,2000,94
arm,2001,96
arm,2002,95
arm,2003,93
arm,2004,94
arm,2005,92
arm,2006,85
arm,2007,93
arm,2008,94
arm,2009,96
arm,2010,97
arm,2011,98
arm,2012,97
arm,2013,97
arm,2014,97
arm,2015,97
arm,2016,97
atg,2005,46
atg,2006,68
atg,2007,78
atg,2008,83
atg,2009,94
atg,2010,92
atg,2011,89
atg,2012,90
atg,2013,87
atg,2014,87
atg,2015,87
atg,2016,87
aus,2004,85
aus,2005,85
aus,2006,87
aus,2007,89
aus,2008,80
aus,2009,82
aus,2010,88
aus,2011,90
aus,2012,91
aus,2013,92
aus,2014,93
aus,2015,93
aus,2016,94
aut,2000,35
aut,2001,34
aut,2002,39
aut,2003,46
aut,2004,47
aut,2005,54
aut,2006,61
aut,2007,56
aut,2008,62
aut,2009,64
aut,2010,69
aut,2011,73
aut,2012,78
aut,2013,82
aut,2014,87
aut,2015,88
aut,2016,89
aze,2001,65
aze,2002,67
aze,2003,66
aze,2004,67
aze,2005,67
aze,2006,68
aze,2007,75
aze,2008,79
aze,2009,83
aze,2010,89
aze,2011,92
aze,2012,95
aze,2013,98
aze,2014,98
aze,2015,98
aze,2016,98
bdi,2013,51
bdi,2014,60
bdi,2015,65
bdi,2016,72
bel,2006,78
bel,2007,78
bel,2008,81
bel,2009,83
bel,2010,83
bel,2011,83
bel,2012,85
bel,2013,85
bel,2014,85
bel,2015,85
bel,2016,85
bfa,2014,17
bfa,2015,50
bfa,2016,50
bgd,2012,35
bgd,2013,70
bgd,2014,83
bgd,2015,83
bgd,2016,93
bgr,2000,83
bgr,2001,85
bgr,2002,79
bgr,2003,89
bgr,2004,91
bgr,2005,92
bgr,2006,93
bgr,2007,94
bgr,2008,94
bgr,2009,93
bgr,2010,96
bgr,2011,94
bgr,2012,94
bgr,2013,94
bgr,2014,89
bgr,2015,87
bgr,2016,88
bhr,2000,92
bhr,2001,99
bhr,2002,97
bhr,2003,99
bhr,2004,99
bhr,2005,99
bhr,2006,99
bhr,2007,99
bhr,2008,97
bhr,2009,99
bhr,2010,98
bhr,2011,98
bhr,2012,99
bhr,2013,99
bhr,2014,99
bhr,2015,99
bhr,2016,99
bhs,2004,95
bhs,2005,88
bhs,2006,88
bhs,2007,84
bhs,2008,80
bhs,2009,76
bhs,2010,78
bhs,2011,79
bhs,2012,73
bhs,2013,69
bhs,2014,72
bhs,2015,76
bhs,2016,74
bih,2000,74
bih,2001,86
bih,2002,90
bih,2003,85
bih,2004,88
bih,2005,90
bih,2006,93
bih,2007,95
bih,2008,92
bih,2009,88
bih,2010,91
bih,2011,88
bih,2012,94
bih,2013,93
bih,2014,92
bih,2015,88
bih,2016,78
blr,2000,92
blr,2001,97
blr,2002,98
blr,2003,98
blr,2004,98
blr,2005,98
blr,2006,95
blr,2007,99
blr,2008,99
blr,2009,99
blr,2010,99
blr,2011,99
blr,2012,97
blr,2013,99
blr,2014,98
blr,2015,99
blr,2016,98
blz,2005,87
blz,2006,92
blz,2007,89
blz,2008,90
blz,2009,92
blz,2010,91
blz,2011,98
blz,2012,93
blz,2013,92
blz,2014,92
blz,2015,95
blz,2016,96
bra,2000,95
bra,2001,95
bra,2002,80
bra,2003,74
bra,2004,68
bra,2005,61
bra,2006,55
bra,2007,49
bra,2008,56
bra,2009,55
bra,2010,53
bra,2011,71
bra,2012,70
bra,2013,69
bra,2014,89
bra,2015,80
bra,2016,72
brb,2001,12
brb,2002,41
brb,2003,71
brb,2004,99
brb,2005,98
brb,2006,94
brb,2007,96
brb,2008,97
brb,2009,97
brb,2010,96
brb,2011,94
brb,2012,90
brb,2013,89
brb,2014,91
brb,2015,89
brb,2016,87
brn,2000,95
brn,2001,95
brn,2002,96
brn,2003,96
brn,2004,97
brn,2005,95
brn,2006,94
brn,2007,92
brn,2008,90
brn,2009,99
brn,2010,93
brn,2011,93
brn,2012,92
brn,2013,92
brn,2014,96
brn,2015,97
brn,2016,97
btn,2008,72
btn,2009,79
btn,2010,85
btn,2011,95
btn,2012,90
btn,2013,89
btn,2014,92
btn,2015,94
btn,2016,90
bwa,2013,83
bwa,2014,85
bwa,2015,80
bwa,2016,74
can,2012,94
can,2013,92
can,2014,90
can,2015,88
can,2016,86
che,2005,71
che,2006,71
che,2007,71
che,2008,83
che,2009,83
che,2010,83
che,2011,86
che,2012,86
che,2013,86
che,2014,87
che,2015,89
che,2016,89
chl,2004,96
chl,2005,96
chl,2006,95
chl,2007,95
chl,2008,89
chl,2009,89
chl,2010,84
chl,2011,77
chl,2012,74
chl,2013,78
chl,2014,88
chl,2015,89
chl,2016,87
chn,2005,84
chn,2006,94
chn,2007,92
chn,2008,95
chn,2009,98
chn,2010,99
chn,2011,99
chn,2012,99
chn,2013,99
chn,2014,99
chn,2015,99
chn,2016,99
cok,2000,70
cok,2001,50
cok,2002,61
cok,2003,88
cok,2004,86
cok,2005,97
cok,2006,99
cok,2007,98
cok,2008,95
cok,2009,61
cok,2010,98
cok,2011,96
cok,2012,98
cok,2013,95
cok,2014,98
cok,2015,95
cok,2016,90
col,2000,84
col,2001,83
col,2002,93
col,2003,70
col,2004,70
col,2005,73
col,2006,85
col,2007,93
col,2008,70
col,2009,71
col,2010,74
col,2011,76
col,2012,80
col,2013,72
col,2014,88
col,2015,86
col,2016,87
cpv,2011,99
cpv,2012,94
cpv,2013,89
cpv,2014,79
cpv,2015,95
cpv,2016,95
cri,2008,89
cri,2009,84
cri,2010,79
cri,2011,80
cri,2012,95
cri,2013,92
cri,2014,90
cri,2015,90
cri,2016,87
cub,2005,53
cub,2006,97
cub,2007,99
cub,2008,98
cub,2009,95
cub,2010,98
cub,2011,95
cub,2012,96
cub,2013,97
cub,2014,98
cub,2015,99
cub,2016,99
cyp,2007,93
cyp,2008,89
cyp,2009,88
cyp,2010,88
cyp,2011,88
cyp,2012,88
cyp,2013,88
cyp,2014,88
cyp,2015,88
cyp,2016,88
cze,2000,98
cze,2001,98
cze,2002,98
cze,2003,98
cze,2004,98
cze,2005,98
cze,2006,98
cze,2007,98
cze,2008,98
cze,2009,98
cze,2010,98
cze,2011,98
cze,2012,99
cze,2013,99
cze,2014,96
cze,2015,99
cze,2016,93
deu,2002,77
deu,2003,83
deu,2004,89
deu,2005,91
deu,2006,90
deu,2007,92
deu,2008,92
deu,2009,93
deu,2010,93
deu,2011,93
deu,2012,93
deu,2013,93
deu,2014,93
deu,2015,93
deu,2016,93
dji,2012,82
dji,2013,82
dji,2014,82
dji,2015,82
dji,2016,82
dma,2001,62
dma,2002,99
dma,2003,99
dma,2004,99
dma,2005,99
dma,2006,99
dma,2007,95
dma,2008,95
dma,2009,95
dma,2010,95
dma,2011,94
dma,2012,94
dma,2013,91
dma,2014,89
dma,2015,94
dma,2016,92
dnk,2001,87
dnk,2002,92
dnk,2003,88
dnk,2004,88
dnk,2005,91
dnk,2006,91
dnk,2007,88
dnk,2008,87
dnk,2009,85
dnk,2010,85
dnk,2011,86
dnk,2012,87
dnk,2013,86
dnk,2014,84
dnk,2015,80
dnk,2016,85
dza,2000,78
dza,2001,73
dza,2002,93
dza,2003,96
dza,2004,94
dza,2005,94
dza,2006,98
dza,2007,95
dza,2008,96
dza,2009,98
dza,2010,95
dza,2011,96
dza,2012,95
dza,2013,93
dza,2014,99
dza,2015,99
dza,2016,96
ecu,2009,99
ecu,2010,91
ecu,2011,92
ecu,2012,81
ecu,2013,70
ecu,2014,59
ecu,2015,76
ecu,2016,76
egy,2000,97
egy,2001,99
egy,2002,96
egy,2003,97
egy,2004,96
egy,2005,97
egy,2006,97
egy,2007,97
egy,2008,96
egy,2009,96
egy,2010,97
egy,2011,97
egy,2012,92
egy,2013,96
egy,2014,93
egy,2015,92
egy,2016,96
eri,2015,75
eri,2016,85
esp,2004,91
esp,2005,92
esp,2006,94
esp,2007,95
esp,2008,94
esp,2009,90
esp,2010,92
esp,2011,91
esp,2012,90
esp,2013,91
esp,2014,93
esp,2015,94
esp,2016,95
est,2000,89
est,2001,84
est,2002,94
est,2003,96
est,2004,97
est,2005,98
est,2006,98
est,2007,96
est,2008,97
est,2009,96
est,2010,95
est,2011,95
est,2012,94
est,2013,92
est,2014,93
est,2015,92
est,2016,92
fin,2016,85
fji,2005,74
fji,2006,94
fji,2007,94
fji,2008,94
fji,2009,94
fji,2010,94
fji,2011,94
fji,2012,94
fji,2013,94
fji,2014,94
fji,2015,94
fji,2016,94
fra,2010,67
fra,2011,67
fra,2012,72
fra,2013,67
fra,2014,77
fra,2015,78
fra,2016,79
fsm,2000,50
fsm,2001,64
fsm,2002,65
fsm,2003,66
fsm,2004,74
fsm,2005,84
fsm,2006,85
fsm,2007,86
fsm,2008,84
fsm,2009,82
fsm,2010,75
fsm,2011,75
fsm,2012,70
fsm,2013,75
fsm,2014,75
fsm,2015,74
fsm,2016,74
gbr,2000,76
gbr,2001,74
gbr,2002,74
gbr,2003,77
gbr,2004,76
gbr,2005,75
gbr,2006,75
gbr,2007,74
gbr,2008,75
gbr,2009,79
gbr,2010,84
gbr,2011,85
gbr,2012,87
gbr,2013,88
gbr,2014,89
gbr,2015,91
gbr,2016,89
geo,2001,8
geo,2002,40
geo,2003,57
geo,2004,75
geo,2005,87
geo,2006,88
geo,2007,92
geo,2008,87
geo,2009,71
geo,2010,84
geo,2011,77
geo,2012,79
geo,2013,89
geo,2014,87
geo,2015,91
geo,2016,85
gha,2012,52
gha,2013,54
gha,2014,67
gha,2015,63
gha,2016,75
gmb,2012,56
gmb,2013,53
gmb,2014,73
gmb,2015,81
gmb,2016,79
grc,2007,77
grc,2008,77
grc,2009,77
grc,2010,77
